,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
335,2950,148,288,88,472,25,61513,2287,220,2210,3429,21265,2059,12626,10258,3254,171,1547,1491,82,8,680,236,242,1552,1923,457,336,61,355,589,1,187,21,76,660,2,30,746,3,...,8369,619,213,93,3,...,50,2488,281,0,1228,6867,167,3655,1114,1008,25,880,1349,551,93,499,812,990,4555,1248,1570,60,2323,3657,179312,95239,42686,...,9390,...,1115,39529,...,214,...,...,...,3,...,...,...,43,...,...,367530
3361MV,1055,75,1209,1119,394,47,3156,911,837,802,1505,19807,322,410,287638,6115,490,772,3690,93,1,1339,359,268,1851,676,8194,7011,1798,364,7687,...,68,...,5948,777,0,146,3836,285,159,1694,293,90,34,...,...,...,...,1322,...,44,4243,974,10218,1631,299,469,1155,134,1811,695,140,165,861,20848,4981,59,1156,7281,755,432564,345652,370883,...,...,...,7623,121705,...,56443,...,...,...,17083,...,...,...,40690,...,...,1392643
3364OT,...,39,...,38,...,...,10,53,...,...,42,139,...,...,404,77429,...,...,...,...,...,...,...,...,...,...,17,106,...,...,...,1184,1976,2480,0,52,...,1332,...,...,...,6,...,...,...,...,...,...,...,...,...,...,2523,54,64,40,...,...,...,...,0,...,1,...,...,674,48861,630,22,0,227,138403,40306,78216,...,...,...,16898,124922,...,34934,...,...,...,42,...,...,...,16,...,...,433737
337,1,...,...,...,...,...,32826,372,1,...,...,456,62,6,56,430,4985,514,...,...,...,1,...,...,...,432,699,356,...,24,2067,...,...,4,...,...,...,22,...,2,...,362,524,...,...,...,...,10681,114,...,18,3,517,6,4,...,...,600,122,1,131,308,512,5,440,382,...,...,2131,15,89,60280,129470,50213,...,938,...,-840,4954,...,0,...,...,...,0,...,...,...,7,...,...,245022
339,224,3,51,46,20,...,1594,28,166,54,70,3150,3,1088,2990,100,15,7741,47,93,225,0,11,16,736,157,1663,536,145,14,1918,0,2,...,9,84,0,324,412,6,4,342,167,288,46,24,...,1,820,92,69,50,3379,35,2821,537,592,25372,28151,1482,1921,85,831,68,1038,1902,239,218,...,11763,137,106212,278856,78145,...,...,...,725,47652,...,3,...,...,...,0,...,...,...,16,...,...,511610
311FT,48683,386,...,...,...,...,...,40,258,6,...,...,...,...,...,...,...,6,203301,13,1415,1383,815,484,4242,162,3383,7,4222,1163,2045,1375,2,703,79,...,...,73,...,36,19,...,130,...,...,...,...,...,...,...,...,...,6296,140,0,...,6898,20,9328,7030,10840,1103,8410,8758,74535,3597,2775,30,792,71576,...,486558,1083510,...,...,...,...,4974,79772,...,...,...,...,...,...,...,...,...,...,...,...,1654813
313TT,252,61,...,3,...,...,3453,733,499,...,...,1320,1,1,6433,1090,3530,2300,214,8677,2204,3662,497,147,12,3055,3068,117,187,5369,2817,...,...,219,21,...,1,99,4,5,202,26,21,...,...,...,...,3,227,262,...,...,454,10,347,170,49,100,846,3620,1306,0,478,2461,442,1401,1042,238,2,3856,44,67656,82760,3599,...,2196,...,412,11101,...,...,...,...,...,0,...,...,...,0,...,...,167724
315AL,53,...,...,...,...,1,...,...,1,...,...,...,...,...,2609,...,...,73,16,738,2170,...,1649,13,...,1,1104,298,11,286,814,...,...,...,...,...,...,...,...,7,34,1311,2,...,...,...,...,...,...,101,...,...,46,15,346,140,81,126,275,...,413,144,35,14,134,2013,138,27,70,3151,49,18506,416913,...,...,...,...,-235,6474,...,...,...,...,...,...,...,...,...,...,...,...,441659
322,473,0,120,228,69,59,3541,740,1791,1485,2924,2502,451,1289,4225,954,1505,2357,34602,502,101,44983,9222,437,8406,5313,7962,203,2089,591,2763,28,57,11,249,1448,26,3512,551,1979,209,1119,550,2020,678,96,5,4,2007,1258,532,391,4602,880,5531,330,242,1481,3328,1608,1169,131,308,2396,3765,1749,140,1040,53,15531,48,202945,48354,...,...,...,...,1026,24114,...,...,...,...,...,...,...,...,...,...,...,...,276439
323,21,...,10,2,...,2,46,17,...,...,1,9,...,1,4,...,...,...,183,...,22,...,1678,13,542,...,10752,202,225,170,7384,8,14,...,587,151,2,791,10,5097,1156,522,8726,990,2155,2066,...,...,160,300,726,247,6880,978,3220,18,1053,1976,3213,177,1558,851,288,891,729,2677,684,704,37,13037,636,84595,11763,...,...,...,...,927,2284,...,...,...,...,...,...,...,...,...,...,...,...,99568
324,10650,548,6791,5191,2426,19698,66220,1098,773,1996,887,1590,105,1490,700,298,396,757,4236,104,38,1257,1957,24352,13062,1123,7286,1622,726,204,2421,15800,8583,2312,31666,4384,19,22348,182,304,173,1108,856,10635,5150,39,847,164,10705,2959,58,884,2486,1946,7868,1807,703,1006,2746,784,650,141,1705,1266,4275,4139,23474,612,3615,111514,23718,493628,335357,...,...,...,...,8297,112548,...,...,...,...,...,...,...,...,...,...,...,...,949831
325,32837,1822,10764,3527,1349,2053,16933,2890,5391,1979,9027,5306,2317,2859,13503,2148,2511,7460,10242,10344,294,15041,7739,13825,275825,73326,2931,224,73,123,1523,1,335,10,266,25,2,182,1886,717,271,905,1435,301,333,28,...,493,19377,472,471,198,19249,2175,10227,948,583,48359,31567,3363,902,391,1139,92,897,5139,2021,1637,111,43227,3238,739158,692333,2447,...,...,...,3774,194253,...,...,...,...,...,...,...,...,...,...,...,...,1631965
326,1679,92,163,1407,729,39,47713,904,1656,827,3176,9125,1089,2194,39534,4333,6387,7077,24066,419,362,3270,860,728,16207,21002,15887,3902,2477,481,7620,18,9,1,1106,57,77,3898,626,439,148,6674,697,320,153,132,1,80,1169,2165,99,697,7700,272,3102,491,758,10391,4629,1917,1358,45,310,187,9033,6993,2043,400,22,14490,2730,310840,74778,320,...,147,...,1863,30468,...,...,...,...,...,0,...,...,...,...,...,...,418417
42,1464,22,70,114,...,1111,62,358,411,1063,1213,3204,698,1702,732,82,498,2243,4345,241,41,1186,122,168,5008,1771,44649,2579,378,15,16273,123,...,...,91,...,3,...,...,865,20,1271,...,14,35,46,3,...,...,7305,...,100,...,...,68,60,26,234,100,...,...,...,101,...,31,22,...,...,0,43,...,102382,...,...,...,...,...,...,2475,...,...,...,...,...,...,...,...,...,...,...,...,104857
