,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
624,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,677,...,677,232566,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,233243
711AS,54,1,1,...,14,97,141,33,41,55,91,75,4,7,50,39,21,37,167,9,4,39,45,94,55,84,2084,733,534,62,729,84,238,...,149,38,...,362,49,192,10302,25167,343,1418,816,369,149,18,6478,317,695,443,5779,3357,2509,87,1316,850,1019,256,293,20112,1177,408,1896,3303,1302,29,60,1319,16,98114,87925,...,6011,...,...,...,1596,...,...,...,...,...,...,...,...,...,...,...,...,193646
713,13,0,...,1,7,19,54,5,7,6,17,12,1,1,8,7,5,7,22,0,0,5,9,8,11,12,189,3,26,1,287,0,0,...,...,...,...,3,1,18,13,64,88,159,131,38,9,22,287,29,74,87,275,511,454,16,57,187,9,22,29,173,8,320,328,45,109,1,0,395,249,4955,217713,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,222667
721,2,...,7,22,180,815,422,138,225,190,507,366,34,40,244,206,137,227,645,28,13,143,343,226,354,389,2321,32,80,46,316,...,20,...,...,...,5,771,116,591,483,2115,2875,5211,4348,1223,290,743,9429,1225,1907,2742,7285,942,9115,679,675,4055,309,427,470,173,225,464,1669,1224,1164,384,43,3422,187,75704,166654,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,242358
722,470,33,41,56,397,1381,469,220,313,322,676,542,60,77,351,280,177,301,1084,58,25,231,333,562,473,494,6025,1061,978,817,4224,15758,7,24,1885,297,44,1598,178,548,695,1959,2500,8299,4635,5458,720,4829,30364,1950,3435,3644,18632,3980,17022,623,1737,22319,14769,8983,2183,625,1957,7932,4210,4089,498,134,991,15932,576,238550,815296,...,...,...,...,...,2826,...,...,...,...,...,...,...,...,...,...,...,...,1056671
81,375,302,237,151,516,468,8279,494,898,1341,2094,1120,387,239,1439,512,248,487,2865,180,33,1671,634,1705,3945,1294,29300,2683,3265,2150,11130,302,156,112,13210,1819,220,2570,1229,726,275,4133,3536,6659,3927,9466,590,64,10277,8139,1334,752,9491,7164,13612,2536,1233,6031,17793,1928,953,1008,1719,2435,12848,10208,3124,318,1140,26417,2379,272282,672007,...,...,...,...,...,79,...,...,...,...,...,...,...,...,...,...,...,...,944368
GFGD,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,676530,...,...,...,...,...,...,...,...,...,...,...,676530
GFGN,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,420762,...,...,...,...,...,...,...,420762
GFE,12,2,...,6,...,142,5,...,...,9,30,318,0,153,...,...,...,23,...,1,...,...,64,88,70,...,13402,607,366,257,4022,5,...,2969,6862,313,38,854,290,497,382,296,1287,2213,12042,113,...,5,336,544,335,164,2143,157,1211,106,431,816,1748,269,327,123,90,700,2891,1180,0,120,2,1403,127,62966,6021,...,...,...,...,...,912,...,...,...,...,...,...,...,...,...,...,...,...,69900
GSLG,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1897764,...,...,...,1897764
GSLE,...,3,...,...,...,2716,...,41,124,191,182,112,36,40,118,60,36,56,805,47,8,164,45,421,1315,138,1157,414,294,152,1033,2,...,...,261,15,7,132,484,75,55,192,78,500,203,105,...,...,946,1013,610,177,2131,423,1920,121,98,805,1142,381,2817,56,327,655,1687,1275,526,272,149,6158,960,36471,75841,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,112312
Other,1159,63,1400,78,555,945,2265,239,264,753,971,1557,1427,454,1772,675,180,561,2649,124,35,580,313,3797,2886,718,6164,60,652,738,3579,16760,220,2592,1326,18,55,489,108,1030,410,8018,912,3353,35655,1808,216,1877,3492,954,404,1262,3252,1704,1641,118,649,...,...,337,...,300,314,756,2039,539,7402,4154,779,...,...,142555,-66068,...,10357,...,...,...,201465,...,...,...,...,...,...,...,...,...,...,...,...,288310
Used,-30,181,...,-15,214,8957,3465,...,123,41526,536,7,...,...,...,...,...,152,...,32,...,5551,...,...,85,81,...,33,...,...,430,128,...,-87,1214,3,140,11668,3,...,329,6,...,...,...,...,...,...,...,-35,...,...,...,187,...,...,3938,4,...,...,...,-80,1036,...,...,12000,-44,...,...,...,...,91734,192578,-132399,...,-1044,-3105,2411,40487,...,0,...,-4,...,3017,...,-27,...,8751,...,4619,207019
T005,261794,15261,182091,51199,37176,167962,797302,76326,72319,177531,225212,256847,85812,70501,622820,195494,51390,76502,704710,32308,10713,128102,50498,431136,479350,165811,829392,116687,92321,95816,487424,106038,38535,39681,214688,51705,7313,129017,69436,94100,77335,440566,201673,325406,364805,663049,138137,247639,886429,125902,97916,114514,590428,259364,452699,51164,113623,363201,475083,104193,87401,64082,72672,108376,416246,296403,272152,130186,28786,804347,211664,16383760,14544601,1240954,1003816,807129,650223,49100,2178432,676530,93378,75059,7437,420762,20181,111062,14741,1897764,50370,41539,339051,40605889
V001,30021,27650,30969,19258,36355,88212,592431,24601,31626,34311,107127,101375,161414,38908,80455,89014,22474,58347,120465,12429,7675,31580,26610,21304,110953,50666,558603,128210,102896,96578,322791,61865,23918,7795,109198,30523,8502,102054,64787,158609,39071,113874,88091,289234,259549,298839,2883,21201,106905,40828,143240,308512,674299,360022,449189,33753,209398,605005,426387,142804,131550,66178,58965,92248,327217,336541,268601,196921,61524,1443412,115693,11444495,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
V003,117587,9693,125443,35434,16904,182514,289232,15814,31687,27239,49895,57364,133637,25972,79607,72886,8234,36380,117114,4208,1324,27722,12867,132340,261056,30070,426878,43786,30256,12182,175612,57289,21284,6064,60944,22720,38315,29101,9252,138094,41474,311566,175604,398867,46880,282557,25697,1824364,386370,198280,118061,61062,291827,41673,138330,24894,50547,163638,72950,8336,10355,67782,22173,61499,92262,99485,164826,120801,7287,222497,65245,8571191,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
T00OTOP,10258,1305,23988,2920,2024,34377,8934,698,1514,2522,3051,3622,8461,1180,3683,2837,398,1656,7204,615,289,1789,752,3738,14717,1688,13676,3716,3517,3555,12685,3813,1483,877,4276,917,3647,2350,844,5184,3788,3731,4309,18507,4688,7263,779,264665,29872,9296,1325,2079,10185,8148,4317,2006,8974,8618,12379,3675,1234,2773,4127,6487,4465,10940,...,...,...,...,...,643391,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
VABAS,157866,38648,180401,57613,55283,305103,890596,41114,64827,64072,160073,162362,303513,66061,163744,164737,31107,96382,244783,17252,9288,61091,40229,157381,386726,82424,999157,175712,136669,112315,511087,122967,46685,14737,174419,54161,50464,133505,74882,301888,84333,429171,268004,706608,311117,588659,29359,2110230,523147,248404,262626,371653,976311,409843,591835,60652,268918,777261,511716,154815,143139,136733,85265,160234,423945,446967,433428,317722,68812,1665910,180939,20659077,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
T018,419659,53909,362492,108812,92458,473065,1687898,117440,137146,241603,385285,419209,389325,136562,786564,360231,82497,172884,949494,49559,20001,189193,90727,588518,866077,248235,1828548,292399,228989,208131,998511,229005,85220,54417,389107,105866,57777,262522,144318,395988,161667,869736,469678,1032014,675922,1251708,167495,2357869,1409577,374306,360542,486167,1566739,669208,1044534,111816,382542,1140462,986799,259008,230540,200815,157937,268610,840190,743369,705579,447908,97598,2470257,392602,37042837,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
T00TOP,...,645,12700,3229,243,30161,2088,130,141,148,1111,247,412,122,262,110,44,354,20224,17,16,126,57,685,4068,750,263133,48974,23875,40009,113599,24386,806,329,555,1117,70,309,145,1338,3531,37483,1785,2691,1364,26351,42,...,1434,13375,16830,5114,5898,1520,6573,1875,939,1552,2854,3218,1019,6819,9797,26758,57655,14296,...,...,...,...,533,848037,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
T00SUB,-21786,...,...,...,...,...,...,...,...,...,...,...,...,-304,...,...,...,...,...,-27,...,...,...,0,-10,...,...,...,...,...,...,-287,-2563,-29,0,...,...,...,...,...,...,-6,...,-393,...,...,...,-18735,-1868,...,...,...,...,...,...,...,...,...,-12,...,...,...,...,...,...,...,...,...,-6439,...,-21430,-73889,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
VAPRO,136080,39293,193101,60842,55526,335264,892684,41243,64968,64220,161184,162609,303924,65879,164006,164847,31151,96736,265007,17242,9304,61217,40286,158066,390784,83174,1262290,224686,160543,152324,624686,147066,44927,15037,174974,55277,50534,133814,75027,303226,87863,466648,269789,708906,312481,615010,29401,2091495,522713,261778,279455,376767,982209,411364,598408,62527,269858,778813,514557,158033,144158,143552,95062,186992,481600,461262,433428,317722,62373,1665910,160042,21433225,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
