101,102,103,201,301,401,501,601,701,801,802,901,1001,1101,1102,1103,1104,1105,1106,1107,1108,1109,1201,1202,1205,1301,1302,1303,1304,1305,1306,1401,1402,1501,1502,1601,1701,1801,1802,1803,1804,1901,1902,2001,2002,2003,2004,2005,2101,2102,2201,2202,2203,2204,2301,2302,2303,2304,2401,2403,2404,2405,2501,2502,2601,2605,2701,2801,2901,3001,3002,3101,3201,3301,3901,4401,4501,4601,4701,4801,4901,5101,5201,5401,5501,5601,5701,5801,6001,6201,6301,6401,6601,6701,6702,6901,7001,7210,7310,7501,7601,7701,8010,8110,8210,8401,8601,8901,9101,9201,9401,9402,9501,9502
1789.93,191.17,50.77,0.04,0.01,0.64,5.94,0,0,0,0,0,0,15804.43,0.65,4551.15,4.8,212.87,1926.07,75.13,26.78,191.35,10.53,287.72,150.82,186.69,69.59,876.96,0,0.06,0,0,0,0,1.01,0,0,29.92,39.6,50.81,23.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.77,835.97,25.35,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.03,0,0,5.95,0,0,6.55,0,0,0,0,31.56,0,0,0,0,0,1.96,79.59
37.6,138.74,107.24,0,0,4.24,0,0,0,0,0,0,0,4299.18,0.14,106.42,0.07,0.85,2.18,42.69,41.69,178.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0.13,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.29,401.37,64.67,189.45,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,2.87,5.08,0,0,0,0,0,7.51,25.12,30.56,2.01,40.13,12.73,0,72.85,18.02,0,0,0.8,0
1709.67,351.79,670.13,0.11,0.04,0,2993.64,0,0,0,0,0,0,12.03,0.12,10.88,989.4,18.64,2.41,91.88,1766.05,999.54,30.44,9.24,2532.66,3.06,0.88,4.37,0.05,0.33,0.25,0,0,0,0,0,0,1.38,0,3.64,0.92,418.92,63.93,0,0,0,0,0,0,0,0,0.69,0.18,0.67,0,0,0,0,0,0,0,0,23.04,0,2.83,3.54,0,19.33,0,134.42,57.94,48.57,650.48,46.6,494.2,239.96,945.01,1.93,5.56,6.03,0,0,2.37,0,29.33,0,0,0,1.63,3.59,0,0,33.86,0,36.84,30.31,0,16.96,9.92,47.26,11.05,16.07,37.1,65.26,9.68,181.02,61.6,20.95,126.43,90.55,6.45,4.96,132.25,3.77
0,0,0,56.05,0,0,0,0,0,0,0,0,0,0,243.05,0,0.28,91.09,0.34,24.26,11.6,221.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,267.94,92.09,167.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,9.1,0,0,0,0
44.45,12.49,21.13,0,249,0,0.02,3.73,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1738.76,740.29,0,0,3.45,13.76,35.13,0.05,159.29,43.55,43.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.56,5.92,19.33,0,0,4.86,0,0,0,0,0,0,0,0,371.73,0,1.53,1.13,3.02,2.31,0,24.64,2.64,0,0,0,25.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,24.93,518.97,24.46,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.95,0.62,2.04,0,0,0,0
2848.54,150.64,2976.17,27.58,616.96,199.4,116.6,10.66,0,17.58,87.57,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,2.78,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,43.64,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20.61,0,0,0,0,63.5,0,27.34,18.34,12.31,0,7.44,0,0,3.09,2.28,7.47,0,8.51,2.09,0,0,0,2.33,0,0,0,0,0,0,0,25.91,0,0,14.31,0,0,18.23,0,0,0,1.8,0,36.94,0,1.75,940.02,414.35,0,40.84,40.25,0,0,0,0,0,0,0,0,0,0,0,2097.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.44,0,11.52,9.44,0,0,0,31.91,483.31,225.93,77.13,25.37,0,76.05,0.52,93.31,24.31,48.95,46.44,40.81,37.66,92.22,24.72,22.62,37.15,0.24,0.15,4.35,0.24,1.61,0,5.09,34.03,53.09,59.4,11.25,8615.7,1.44,0.68,1553.9,3.6,201.03,16.48,213.41,38.95,43.52,102.75,30.59,118.37,607.08,8.63,52.79,28.49,33.79,16.42,4.71,7.8,7.02,6.55,2.59,2.34,8.32,2.64,2.07,1799.48,1.89,72.47,0,0.8,83.33,140.87,0,44.66,2555.22,31.94,23.11,590.74,289.03,4.31,6.12,1.4,168.84,22.99,15.12,6.22,0,0,25.24,0,0,0,0,26.21,4.5,21.77,129.13,0,44.68,0,41.53,24.57,13.82,43.58,38.17,4.7,123.48,129.76,2.15,7.11,4.23,18.1,4.87,21.63,9.41
